Klient,Client_ID,Opiekun,Segment,Grupa_MVP,Status,Aktywny,Telefon,Telefon_dodatkowy,Email,Email_dodatkowe,Preferowana_forma_kontaktu,Zamówienia_gdzie,Dni_zamówień,Rytm_kontaktu,Miasto,Kraj,Notatki,Grupa_raw
Stary Dom,C071,Magda,Premium,Magda Premium,Aktywny,1,530201711,,manager@restauracjastarydom.pl,,Sms,SMS,Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: Puławska 104/106; 02-620; Warszawa; Poland | Info: Pełna nazwa: `Restauracja Stary Dom    
Sp. z o.o. Sp. Komandytowa`
NIP: 521-34-48-980
Grupa: 2. MAGDA PREMIUM
Sugerowany opiekun: Magda
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Łukasz FederowiczSzef Kuchni | Notatka: Rabat  10%

Limit EULER 20 000 | Dodany: 07 paź 2015",2. MAGDA PREMIUM
Steak Dolna 41,C072,Magda,Standard,Magda Standard,Aktywny,1,,,almasuljan@gmail.com,,Sms,Skalo,Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: ul. Dolna 41 lok. K1; 00-773; Warszawa; Poland | Info: Pełna nazwa: UAME SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5214062722
Grupa: 3. MAGDA STANDARD
Sugerowany opiekun: Magda
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezpi | Notatka: Rabat  10%
Limit EULER 20 000 do 12.11.2025
Brak ubezpieczenia | Dodany: 15 maj 2024",3. MAGDA STANDARD
Street Daszyńskiego,C073,Magda,Premium,Magda Premium,Aktywny,1,698683038,,restauracja.towarowa@street.com.pl,,Sms,Skalo,Wtorek,2x/tydzień,Warszawa,Poland,"Adres: ul. Zygmunta Słomińskiego 7 lok. 229; 00-195; Warszawa; Poland | Info: Pełna nazwa: STREET POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA
NIP: 5252455553
Grupa: 2. MAGDA PREMIUM
Sugerowany opiekun: Magda
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 7
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Wiktor Lehki - Menager | Notatka: Rabat  15%
Limit EULER 20 000
SKONTO | Dodany: 09 mar 2020",2. MAGDA PREMIUM
Street ONZ,C074,Magda,Premium,Magda Premium,Aktywny,1,661433324,,restauracja.onz@street.com.pl,,Sms,Skalo,Poniedziałek,2x/tydzień,Piaseczno k. Warszawy,Poland,"Adres: Królowej Jadwigi 1; 05-501; Piaseczno k. Warszawy; Poland | Info: Pełna nazwa: ARKA Artur Paweł Lewicki
tel. ochrona 501412252
NIP: 123-032-34-11
Grupa: 2. MAGDA PREMIUM
Sugerowany opiekun: Magda
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 7
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Mariusz KrzemińskiMenager | Notatka: Rabat  15%
Limit EULER 20 000
SKONTO | Dodany: 28 lip 2016",2. MAGDA PREMIUM
Street Polska 2 KASPRZAKA,C075,Magda,Premium,Magda Premium,Aktywny,1,530354687,,restauracja.kasprzaka4@street.com.pl,,Sms,Skalo,Poniedziałek,1x/tydzień,Piaseczno,Poland,"Adres: ul. Królowej Jadwigi 1; 05-501; Piaseczno; Poland | Info: Pełna nazwa: STREET POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 701 017 36 51
Grupa: 2. MAGDA PREMIUM
Sugerowany opiekun: Magda
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 7
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Rafał Paprot - Menager | Notatka: Rabat  20%
Limit EULER 20 000
SKONTO | Dodany: 27 cze 2024",2. MAGDA PREMIUM
Sushi Soul,C076,Magda,Premium,Magda Premium,Aktywny,1,505869904,,faktury@sushisoul.pl,malgorzata.rojek@addallhoreca.pl,Sms,Email,"Czwartek, Poniedziałek",2x/tydzień,Warszawa,Poland,"Adres: ul. Fort Piłsudskiego 1 lok 4; 02-704; Warszawa; Poland | Info: Pełna nazwa: SOUL FOOD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5252909422
Grupa: 2. MAGDA PREMIUM
Sugerowany opiekun: Magda
Warunki płatności: przelew
Termin płatności (dni): 10
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Mariusz MelcerWłaściciel | Notatka: Rabat  20%
Limit EULER 25 000 | Uwagi: Torby z nadrukiem-dzielimy zmaowienie na 2 wz | Dodany: 07 lis 2022",2. MAGDA PREMIUM
Sushi Today by Sakana,C077,Magda,Premium,Magda Premium,Aktywny,1,,,biuro@cellsonic.pl,malgorzata.rojek@addallhoreca.pl,Sms,Skalo,Środa,2x/miesiąc,Książenice,Poland,"Adres: ul. Młodości 2A lok. 7; 05-825; Książenice; Poland | Info: Pełna nazwa: CELLSONIC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5291825310
Grupa: 2. MAGDA PREMIUM
Sugerowany opiekun: Magda
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 7
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: . | Notatka: Limit Euler 20 000 od 03.06.2025
SKONTO | Dodany: 03 kwi 2025",2. MAGDA PREMIUM
Sushi Zushi Żurawia,C078,Magda,Standard,Magda Standard,Aktywny,1,,,magazyn@sushizushi.pl,efaktury@sushizushi.pl,Sms,Skalo,Wtorek,2x/tydzień,Warszawa,Poland,"Adres: ul. Żurawia 6/12; 00-503; Warszawa; Poland | Info: Pełna nazwa: SUSHI ZUSHI ANDRZEJ KISIELIŃSKI
NIP: 1180218361
Grupa: 3. MAGDA STANDARD
Sugerowany opiekun: Magda
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  15%
Limit EULER 20 000 | Uwagi: kilka produktów biorą/tak umówione/perpektywa poszerzenia | Dodany: 22 mar 2023",3. MAGDA STANDARD
SZPITAL NA MADALIŃSKIEGO,C079,Magda,Premium,Magda Premium,Aktywny,1,784290910,,e.stefanek@fudeko.pl,malgorzata.rojek@addallhoreca.pl,Sms,Email,Środa,2x/miesiąc,Gdynia,Poland,"Adres: ul. Spokojna 4; 81-549; Gdynia; Poland | Info: Pełna nazwa: FUDEKO SPÓŁKA AKCYJNA
NIP: 7010252178
Grupa: 2. MAGDA PREMIUM
Sugerowany opiekun: Magda
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 30
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Edyta Stefanek | Notatka: Limit Euler 20 000 od 22.09
SKONTO | Dodany: 09 lip 2025",2. MAGDA PREMIUM
SZPITAL OTWOCK,C080,Magda,Premium,Magda Premium,Aktywny,1,666860450,784290910,e.stefanek@fudeko.pl,malgorzata.rojek@addallhoreca.pl,Telefon,Telefon,Środa,2x/tydzień,Gdynia,Poland,"Adres: ul. Spokojna 4; 81-549; Gdynia; Poland | Info: Pełna nazwa: FUDEKO SPÓŁKA AKCYJNA
NIP: 7010252178
Grupa: 2. MAGDA PREMIUM
Sugerowany opiekun: Magda
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 30
Rabat (%): 20
Limit kredytowy: 0
Dodatkowe info (telefon): Edyta Stefanek
Opis/Notatki z Bigin:
Kontakt: Danuta | Notatka: Limit Euler 20 000 od 22.09
SKONTO | Dodany: 03 wrz 2025",2. MAGDA PREMIUM
TOSCA,C081,Magda,Standard,Magda Standard,Aktywny,1,605954499,,jakubstepniak2@gmail.com,"kontakt@tosca.waw.pl, malgorzata.rojek@addallhoreca.pl",Sms,Skalo,Środa,2x/tydzień,Warszawa,Poland,"Adres: ul. Juliana Konstantego Ordona 5F lok. 123; 01-237; Warszawa; Poland | Info: Pełna nazwa: DUE FAMIGLIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5273146455
Grupa: 3. MAGDA STANDARD
Sugerowany opiekun: Magda
Warunki płatności: Gotówka
Termin płatności (dni): 0
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Jakub Stępniak | Dodany: 19 lis 2025",3. MAGDA STANDARD
U Barssa,C082,Magda,Standard,Magda Standard,Aktywny,1,693528948,,biuro@ubarssa.pl,,Sms,SMS,Czwartek,1x/tydzień,Warszawa,Poland,"Adres: Rynek Starego Miasto 12/14; 00-272; Warszawa; Poland | Info: Pełna nazwa: Restauracja `U Barssa` 
Grażyna Zawojska
NIP: 5222406260
Grupa: 3. MAGDA STANDARD
Sugerowany opiekun: Magda
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Alicja Zawojska - Menager | Notatka: Rabat  15%
Limit Euler 20 000 | Uwagi: otwarci od 11 | Dodany: 06 kwi 2016",3. MAGDA STANDARD
VIVA TANGO,C083,Magda,Standard,Magda Standard,Aktywny,1,,,restauracja@vivatango.pl,malgorzata.rojek@addallhoreca.pl,Sms,Skalo,Poniedziałek,1x/tydzień,Warszawa,Poland,"Adres: ul. Nowogrodzka 4; 00-513; Warszawa; Poland | Info: Pełna nazwa: TANGO GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5214037167
Grupa: 3. MAGDA STANDARD
Sugerowany opiekun: Magda
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Limit EULER 20 000 | Dodany: 03 gru 2024",3. MAGDA STANDARD
Voda,C084,Magda,Premium,Magda Premium,Aktywny,1,516515488,,faktury@restauracjavoda.pl,"rafald@restauracjavoda.pl, malgorzata.rojek@addallhoreca.pl",Sms,Email,Poniedziałek,1x/tydzień,Warszawa,Poland,"Adres: ul. Wioślarska 8; 00-411; Warszawa; Poland | Info: Pełna nazwa: BJZ INVESTMENT GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 7011187371
Grupa: 2. MAGDA PREMIUM
Sugerowany opiekun: Magda
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 14
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezp | Notatka: Limit Euler 20 000 do 12.11.2025
BRAK UBEZPIECZENIA !!!
SKONTO | Dodany: 18 lip 2025",2. MAGDA PREMIUM
Wozownia,C085,Magda,Premium,Magda Premium,Aktywny,1,690590356,,franciszek.ziembowicz@feste.group,,Sms,Skalo,Czwartek,1x/tydzień,Warszawa,Poland,"Adres: ul. Nowy Świat 1; 00-496; Warszawa; Poland | Info: Pełna nazwa: FESTE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5213754398
Grupa: 2. MAGDA PREMIUM
Sugerowany opiekun: Magda
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 7
Rabat (%): 18
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Norbert Pierzyna  Menager | Notatka: Rabat  18%
Limit EULER 20 000
SKONTO | Dodany: 25 maj 2022",2. MAGDA PREMIUM
Zoli Pizzeria,C086,Magda,Premium,Magda Premium,Aktywny,1,570799799,881074558,zolipizza2019@gmail.com,,Sms,SMS,Wtorek,2x/tydzień,Warszawa,Poland,"Adres: UL. ADAMA MICKIEWICZA 9; 01-517; Warszawa; Poland | Info: Pełna nazwa: ON OFF Sp. z o.o
NIP: 5213612741
Grupa: 2. MAGDA PREMIUM
Sugerowany opiekun: Magda
Warunki płatności: Gotówka
Termin płatności (dni): 0
Rabat (%): 10
Limit kredytowy: 0
Dodatkowe info (telefon): Aleksandra Menager - os składająca za
Opis/Notatki z Bigin:
Kontakt: Sylwia Zacharska - Włascicielka brak . ubez | Notatka: ZGŁOSZONA SZKODA WINDYKACYJNA 
Rabat  15%

Nowe dane firmy od 22.10.2024 Poprzedni NIP: 5272896384 | Uwagi: tylko gotówka/pilnować | Dodany: 25 sie 2022",2. MAGDA PREMIUM
ZPR Casino 2,C087,Magda,Standard,Magda Standard,Aktywny,1,608659200,,jdanielewski@medella.com.pl,,Sms,Email,Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: ul. Jubilerska 10; 04-190; Warszawa; Poland | Info: Pełna nazwa: MEDELLA SPÓŁKA AKCYJNA
NIP: 1132706648
Grupa: 3. MAGDA STANDARD
Sugerowany opiekun: Magda
Warunki płatności: Gotówka
Termin płatności (dni): 0
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Joachim Danielewski - Menager | Notatka: Rabat  10%
KLIENT FAKTURA | Uwagi: zamówienia wchodzą na eamil | Dodany: 28 wrz 2022",3. MAGDA STANDARD
Ach Cafe,C088,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,695667971,570715875,milena.pro@wp.pl,,Sms,Skalo,Czwartek,1x/tydzień,Warszawa,Poland,"Adres: ul. Przy Bażantarni 8b lok. U1; 02-793; Warszawa; Poland | Info: Pełna nazwa: Ach Cafe & MileyscatsPL Milena Prochera
NIP: 9191012762
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 20
Limit kredytowy: 0
Dodatkowe info (telefon): MonikaRostkowskaOsoba odpowiedzialn
Opis/Notatki z Bigin:
Kontakt: Milena ProchelskaMenager | Notatka: Rabat  20%
Limit EULER 20 000
FV ZBIORCZA | Dodany: 24 cze 2021",4. WERYFIKACJA - ZOSTANA
Activ Cafe,C089,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,575436511,,marcin.dziekonski16@gmail.com,malgorzata.rojek@addallhoreca.pl,Sms,SMS,Środa,co 2 miesiące,Piaseczno,Poland,"Adres: ul. Puławska 47 lok. lok. 6; 05-500; Piaseczno; Poland | Info: Pełna nazwa: RAAF Rafał FISZER
NIP: 5261318399
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: ubezp. Marcin Dziekoński | Notatka: Limit EULER 20 000 | Dodany: 16 kwi 2025",5. WERYFIKACJA - ODEJDA
AGLI AMICI 2,C090,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,,,marta@bojanowicz.com.pl,,Sms,Skalo,Wtorek,2x/miesiąc,Łomianki,Poland,"Adres: ul. Kaktusowa 1; 05-092; Łomianki; Poland | Info: Pełna nazwa: KARRAMBA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 1182302516
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 7
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezp. | Notatka: rabat 15%
SKONTO | Uwagi: Pilnować płatnosci 1 zam.i płatnosć | Dodany: 30 maj 2025",4. WERYFIKACJA - ZOSTANA
Akashia Sushi,C091,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,,,sienna@akashia.pl,,Sms,Email,Poniedziałek,1x/tydzień,Warszawa,Poland,"Adres: ul. Sienna 39; 00-121; Warszawa; Poland | Info: Pełna nazwa: COOLTURALNI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 9512377304
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 30
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: KLIENT FAKTURA

Rabat  15% 
Limit EULER 20 000 | Uwagi: stałe produkty/powolne poszerzanie współpracy/rękawiczki CLARINA transparentne L indyw. produkt | Dodany: 15 mar 2024",5. WERYFIKACJA - ODEJDA
Arizona Burger WOLSKA,C092,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,577999123,,dneskafv@gmail.com,malgorzata.rojek@addallhoreca.pl,,,,,Warszawa,Poland,"Adres: ul. Hoża 51; 00-681; Warszawa; Poland | Info: Pełna nazwa: Viktoriia Lisovenko Dneska
NIP: 5273001917
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Gotówka
Termin płatności (dni): 0
Rabat (%): 18
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezp.Dyma | Notatka: brak ubezpieczenia | Dodany: 11 wrz 2025",5. WERYFIKACJA - ODEJDA
Atelier Stylissimo,C093,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,604457424,,mariusz@stylissimo.pl,,Sms,SMS,Wtorek,2x/tydzień,Warszawa,Poland,"Adres: ul. Smolna 40; 00-375; Warszawa; Poland | Info: Pełna nazwa: Mariusz Zawiślański `ATELIER STYLISSIMO`
NIP: 1130738868
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Mariusz Zawiślański - właściciel | Notatka: Rabat  15%

Limit EULER 20 000 | Uwagi: PRODUKT INDYWIDUALNY | Dodany: 30 gru 2016",4. WERYFIKACJA - ZOSTANA
Bishops Bistro,C094,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,,,bishopsbrewbistro@gmail.com,,Sms,Skalo,Czwartek,1x/tydzień,Warszawa,Poland,"Adres: Wilcza 31; 00-544; Warszawa; Poland | Info: Pełna nazwa: AFERIST SP. Z O.O
NIP: 5273091576
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: LIMIT EULER 20 000 | Uwagi: cisną o ceny/specyficzna, trudna kobieta | Dodany: 04 lip 2024",5. WERYFIKACJA - ODEJDA
Blikle,C095,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,669609509,,magazyn@blikle.pl,,,,,,Warszawa,Poland,"Adres: Nowy Świat 33; 00-029; Warszawa; Poland | Info: Pełna nazwa: A.Blikle Sp. z o.o.
NIP: 526 03 12 147
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Gotówka
Termin płatności (dni): 0
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezp. Michał Jaroń - Osoba odpowiedzialna za zamów. | Notatka: Rabat  15%
BRAK UBEZPIECZENIA | Uwagi: Nasze stacje do ustalenia | Dodany: 07 paź 2015",5. WERYFIKACJA - ODEJDA
Blikle Placówki,C096,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,792472902,,katarzyna.zaleska@blikle.pl,,,,,,Warszawa,Poland,"Adres: Nowy Świat 33; 00-029; Warszawa; Poland | Info: Pełna nazwa: A.Blikle Sp. z o.o.
NIP: 526 03 12 147
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Gotówka
Termin płatności (dni): 0
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezp. Katarzyna ZałęskaKierownik placówek | Notatka: Rabat  15%
BRAK UBEZPIECZENIA | Uwagi: Nasze stacje do ustalenia | Dodany: 18 kwi 2017",5. WERYFIKACJA - ODEJDA
BOSKO,C097,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,534743858,,mzyska@zystal.pl,ursynow@lodybosko.pl,,,,,Legionowo,Poland,"Adres: ul. Husarska 29 lok. 21; 05-120; Legionowo; Poland | Info: Pełna nazwa: ESTE MAŁGORZATA ZYSKA
NIP: 1132292833
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Wiola Rudzińska  - Osoba odpowiedzialna za zamów. | Notatka: Rabat  20%
Limit EULER 20 000 | Dodany: 20 lip 2021",5. WERYFIKACJA - ODEJDA
Cafe Jagiel,C098,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,,,jawouslugi@gmail.com,,Sms,SMS,Wtorek,2x/miesiąc,Warszawa,Poland,"Adres: Hoża 5A; 00-528; Warszawa; Poland | Info: Pełna nazwa: Cafe Jagiel Jakub Jagielak
NIP: 7010023325
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Gotówka
Termin płatności (dni): 0
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Jakub Jagielak | Uwagi: tylko do wystawiania fv | Dodany: 01 paź 2025",4. WERYFIKACJA - ZOSTANA
DIFFERENT,C099,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,608512416,,marketing@restauracjadifferent.pl,malgorzata.rojek@addallhoreca.pl,Sms,WhatsApp,Wtorek,2x/tydzień,Warszawa,Poland,"Adres: Aleje Jerozolimskie 123A; 02-017; Warszawa; Poland | Info: Pełna nazwa: FUNDACJA POMOCY RODZINIE `CZŁOWIEK W POTRZEBIE`
NIP: 5213361463
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 7
Rabat (%): 18
Limit kredytowy: 0
Dodatkowe info (komórka): Michał Gerwatowski
Opis/Notatki z Bigin:
Kontakt: brak ubezpieczenia | Notatka: BRAK UBEZPIECZENIA
FV ZBIORCZA
SKONTO
Ceny widoczne na WZ!!! | Dodany: 05 mar 2025",4. WERYFIKACJA - ZOSTANA
Drukarnia GC,C100,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,226641419,,mariusz@drukarnia-gc.pl,,Sms,SMS,Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: ul. Sycowska 20; 02-266; Warszawa; Poland | Info: Pełna nazwa: Drukarnia G.C. - Grzegorz Cielecki
NIP: 5261499811
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  10%
Limit EULER 20 000 | Uwagi: tylko papier do pieczenia | Dodany: 19 mar 2024",4. WERYFIKACJA - ZOSTANA
EWNS,C101,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,574084003,,ewnswork2023@gmail.com,,Sms,Skalo,Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: ul. Waliców 11 lok. U8; 00-855; Warszawa; Poland | Info: Pełna nazwa: CULTURA GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5252936867
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 25
Limit kredytowy: 9050
Opis/Notatki z Bigin:
Kontakt: brak ubezp.Maksym - Menager | Notatka: Rabat  25%
Limit Euler 20 000 | Dodany: 25 wrz 2023",4. WERYFIKACJA - ZOSTANA
GAMAGYM,C102,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,735400200,,w.zakrocka@gamagym.com,,Sms,WhatsApp,Środa,1x/miesiąc,Warszawa,Poland,"Adres: ul. Wioślarska 8; 00-411; Warszawa; Poland | Info: Pełna nazwa: GAMA WORK SERVICE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 8513219050
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 18
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Weronika Zakrocka | Notatka: Limit Euler 20 000 | Dodany: 18 lip 2025",4. WERYFIKACJA - ZOSTANA
GiGi Bar,C103,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,572647649,,marabarwaw@gmail.com,,,,,,Warszawa,Poland,"Adres: Aleja Jana Pawła II 43A lok. 37B; 01-001; Warszawa; Poland | Info: Pełna nazwa: MARA BAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 7011094310
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 18
Limit kredytowy: 1150
Opis/Notatki z Bigin:
Kontakt: brak ubezp. | Notatka: Rabat  18% | Dodany: 09 mar 2023",5. WERYFIKACJA - ODEJDA
HOŻA Argentine,C104,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,791649721,,l.stachura@steakhousehoza.pl,,,,,,Warszawa,Poland,"Adres: ul. Hoża 25A lok. 1; 00-521; Warszawa; Poland | Info: Pełna nazwa: HOŻA 25A Łukasz Stachura
NIP: 5512587100
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 5
Rabat (%): 19
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Ola - Osoba odpowiedzialna za zamów. | Notatka: Rabat  19%
Limit EULER 20 000 | Dodany: 22 lut 2022",5. WERYFIKACJA - ODEJDA
Iguana AFICIONADO,C105,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,,,krzysztof.k@iguanacigars.pl,edyta.d@iguanacigars.pl,Sms,"SMS, Email",Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: ul. Wilcza 26; 00-544; Warszawa; Poland | Info: Pełna nazwa: AFICIONADO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 7010356423
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezp. | Notatka: Rabat  10% | Dodany: 19 paź 2022",5. WERYFIKACJA - ODEJDA
